Latitude,Longitude,Distance,Census Code,Geo ID,Tract
29.66064644,-82.32210541,2.141717217454264,120010005003047,12001000500,000500
29.63846646,-82.31835254,3.5454996277819535,120010007002049,12001000700,000700
29.64395142,-82.32165527,2.894855708746191,120010007002011,12001000700,000700
29.6513505,-82.3346988,1.4171523956732535,120010002004012,12001000200,000200
29.6785373,-82.3014452,4.576322717093069,120010004001006,12001000400,000400
29.62174216,-82.37225272,5.143152939628581,120010015151011,12001001515,001515
29.62301207,-82.37513743,5.179450567363368,120010015191002,12001001519,001519
29.64959908,-82.32283783,2.429140455192244,120010005001066,12001000500,000500
29.62282184,-82.35601218,4.400896781537499,120010015153000,12001001515,001515
29.65326375,-82.35957513,1.715687326969228,120010010002001,12001001000,001000
29.62352687,-82.37538266,5.146606042269257,120010015191003,12001001519,001519
29.65231895,-82.32341003,2.2353895182596184,120010005001023,12001000500,000500
29.7278511,-82.3964278,8.990674327743996,120010018131012,12001001813,001813
29.64598132,-82.40031879,5.676989280417125,120010016044013,12001001604,001604
29.65687164,-82.40885895,6.2676944212880645,120010016041006,12001001604,001604
29.68130942,-82.31403552,3.6936257224033766,120010004004010,12001000400,000400
29.653619,-82.31337905,3.0968422619741354,120010005004028,12001000500,000500
29.65656572,-82.31046442,3.3047046775194966,120010005004002,12001000500,000500
29.6998517,-82.3649465,4.765096161288298,120010012021002,12001001202,001202
29.6528885,-82.3685607,2.5202421684493896,120010010002009,12001001000,001000
29.67239802,-82.30268307,4.215072409129837,120010004002002,12001000400,000400
29.64221418,-82.33680408,2.21252967182108,120010008061008,12001000806,000806
29.6883806,-82.3245235,3.594622972368954,120010003021004,12001000302,000302
29.64993107,-82.36051438,1.9997142126058727,120010009011001,12001000901,000901
29.6577918,-82.3447402,0.3613906582656435,120010010004010,12001001000,001000
29.6582167,-82.3786856,3.3463693634554064,120010016031014,12001001603,001603
29.64652653,-82.31224582,3.490003921233595,120010007001017,12001000700,000700
29.6487917,-82.2970013,4.7680965146800345,120010006003038,12001000600,000600
29.6862261,-82.3288475,3.1775794065542198,120010003021006,12001000302,000302
29.6910353,-82.3366254,3.4227067993055282,120010003022014,12001000302,000302
29.69660274,-82.34287215,3.9644722146347227,120010012031001,12001001203,001203
29.65143034,-82.35750378,1.6682131282090469,120010010002033,12001001000,001000
29.654145,-82.3651749,2.1643611712788333,120010010002002,12001001000,001000
29.68578911,-82.3502655,2.8193436754698693,120010012022013,12001001202,001202
29.619643,-82.360953,4.8804770766243015,120010015162000,12001001516,001516
